tx_id,user_id,timestamp,asset,amount_usd,country,new_device,failed_attempt,country_change,withdrawal
TX0001,U1007,2026-08-01T09:00,ETH,8832.84,CN,false,false,false,true
TX0002,U1012,2026-08-01T09:19,BNB,9848.34,AU,false,false,false,false
TX0003,U1022,2026-08-01T09:28,USDT,8558.53,AU,false,false,false,true
TX0004,U1019,2026-08-01T09:36,BNB,3184.58,GB,false,false,false,true
TX0005,U1004,2026-08-01T10:16,ETH,16679.8,DE,false,false,false,false
TX0006,U1014,2026-08-01T10:25,SOL,605.5,AU,false,false,false,true
TX0007,U1011,2026-08-01T10:36,USDT,13392.31,US,false,false,false,false
TX0008,U1016,2026-08-01T09:49,USDT,19396.67,SG,false,false,false,true
TX0009,U1008,2026-08-01T11:16,BTC,8851.56,CN,false,false,false,true
TX0010,U1003,2026-08-01T14:06,ETH,8023.95,CN,false,false,false,true
TX0011,U1013,2026-08-01T11:00,BTC,150.36,DE,false,false,false,true
TX0012,U1016,2026-08-01T10:28,ETH,1205.82,SG,false,false,true,true
TX0013,U1023,2026-08-01T16:36,ETH,640.5,AU,false,false,true,true
TX0014,U1018,2026-08-01T11:36,ETH,339.68,US,false,false,false,false
TX0015,U1004,2026-08-01T12:30,BNB,863.63,US,false,false,false,false
TX0016,U1015,2026-08-01T11:30,BNB,1493.63,AU,true,false,true,false
TX0017,U1022,2026-08-01T12:12,SOL,1652.23,US,false,false,false,true
TX0018,U1016,2026-08-01T14:23,BTC,15469.13,SG,false,false,false,false
TX0019,U1023,2026-08-01T18:54,USDT,8696.92,DE,false,false,false,false
TX0020,U1016,2026-08-01T13:07,ETH,647.61,HK,false,false,false,false
TX0021,U1009,2026-08-01T18:40,SOL,8413.51,US,false,false,false,true
TX0022,U1015,2026-08-01T12:51,BNB,18113.74,GB,false,false,false,false
TX0023,U1003,2026-08-01T17:48,USDT,1763.35,GB,false,false,false,true
TX0024,U1007,2026-08-01T16:17,USDT,10810.56,HK,false,false,false,false
TX0025,U1012,2026-08-01T12:36,ETH,158.37,AU,false,false,false,false
TX0026,U1002,2026-08-01T14:00,ETH,8180.54,US,false,false,false,false
TX0027,U1002,2026-08-01T15:30,USDT,693.98,DE,true,false,false,true
TX0028,U1001,2026-08-01T21:09,BTC,1648.14,US,false,false,false,false
TX0029,U1019,2026-08-01T16:28,BNB,770.01,GB,false,false,false,true
TX0030,U1007,2026-08-01T13:50,BTC,154.29,US,false,false,false,true
